Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Hiking,2022-11-27 14:19:06,false,"El Dorado County Hiking","2.49","217","01:04:35","106","145","0.8","81","245","25:58","12:27","229","217","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","80.6","0:00","No","01:04:34.66.9","1","86.0","00:48:55","01:04:35","3,470","3,546"
Running,2022-11-27 10:28:18,false,"Loomis Running","2.33","207","00:39:19","125","159","2.3","124","170","16:51","10:58","191","302","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","71.6","0:00","No","06:47.93.2","3","80.6","00:37:59","00:39:19","285","354"
Running,2022-11-25 09:22:16,false,"Auburn Running","8.25","758","01:50:26","158","178","3.8","153","237","13:23","10:18","450","570","0.79","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","71.6","0:00","No","04:22.44.2","9","82.4","01:49:57","01:50:26","1,163","1,367"
Running,2022-11-21 12:47:10,false,"Auburn Running","9.50","918","02:22:52","151","182","3.9","144","176","15:02","9:55","1,096","1,088","0.74","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","69.8","0:00","No","07:06.34.3","10","80.6","02:17:42","02:22:52","670","1,417"
Running,2022-11-20 09:16:39,false,"Auburn Running","4.87","446","00:59:25","161","181","3.4","157","235","12:12","9:13","152","285","0.84","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","66.2","0:00","No","10:58.29.1","5","80.6","00:59:18","00:59:25","1,305","1,370"
Running,2022-11-18 09:22:23,false,"Auburn Running","5.23","484","01:03:18","161","178","3.8","156","176","12:07","9:25","142","254","0.85","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","68.0","0:00","No","03:21.08.2","6","86.0","01:01:45","01:03:18","1,324","1,371"
Running,2022-11-14 09:40:38,false,"Auburn Running","7.00","644","01:33:29","153","175","3.6","154","229","13:21","10:14","416","393","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","68.0","0:00","No","12:21.72.1","7","84.2","01:33:22","01:33:29","1,177","1,371"
Hiking,2022-11-13 11:13:27,false,"Auburn Hiking","9.99","777","03:39:59","113","153","2.1","100","248","22:01","11:59","1,089","1,077","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","69.8","0:00","No","03:39:58.96.7","1","84.2","03:07:24","03:39:59","615","1,364"
Running,2022-11-11 10:47:38,false,"Auburn Running","10.81","1,006","02:36:34","151","178","3.9","147","245","14:29","9:41","848","974","0.76","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","68.0","0:00","No","11:20.22.4","11","84.2","02:32:44","02:36:34","811","1,372"
Running,2022-11-10 10:33:26,false,"Auburn Running","3.01","275","00:35:15","152","178","3.4","158","171","11:42","9:49","78","252","0.87","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","69.8","0:00","No","00:14.32.9","4","78.8","00:35:14","00:35:15","1,319","1,358"
Running,2022-11-09 10:13:49,false,"Auburn Running","4.95","460","01:03:45","161","180","3.4","157","173","12:53","10:16","137","222","0.80","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","60.8","0:00","No","11:58.89.5","5","82.4","01:03:31","01:03:45","1,313","1,359"
Running,2022-11-07 10:02:07,false,"Auburn Running","5.05","453","01:05:54","153","173","3.3","157","172","13:03","10:41","133","206","0.79","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","64.4","0:00","No","00:48.45.7","6","82.4","01:05:52","01:05:54","1,324","1,372"
Running,2022-11-05 11:42:40,false,"Auburn Running","4.57","432","00:57:44","161","184","3.7","155","169","12:37","10:18","126","115","0.82","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","62.6","0:00","No","07:37.94.2","5","80.6","00:57:44","00:57:44","1,317","1,383"
Running,2022-10-29 17:22:52,false,"Auburn Running","2.75","244","00:37:08","142","164","2.6","150","173","13:29","10:18","88","162","0.80","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","73.4","0:00","No","10:40.81.7","3","84.2","00:36:38","00:37:08","1,323","1,365"
Hiking,2022-10-26 15:08:17,false,"San Benito County Hiking","1.98","237","01:18:23","101","150","0.8","40","159","39:30","3:00","448","402","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","71.6","0:00","No","01:18:22.67","1","80.6","00:30:51","01:18:23","1,362","1,680"
Hiking,2022-10-26 11:21:27,false,"San Benito County Hiking","5.49","455","02:40:20","99","147","1.1","75","159","29:11","14:59","575","579","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","73.4","0:00","No","02:40:20.39.3","1","87.8","01:47:11","02:40:20","1,039","1,465"
Hiking,2022-10-25 14:24:06,false,"San Benito County Hiking","5.31","732","04:04:30","101","154","2.3","51","201","46:00","10:34","1,493","1,606","0.69","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","69.8","0:00","No","01:21:20.81.2","2","93.2","01:53:21","04:04:30","1,344","2,620"
Running,2022-10-24 14:42:43,false,"Auburn Running","10.81","983","02:31:52","146","177","4.3","143","243","14:03","9:51","325","314","0.80","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","71.6","0:00","No","12:06.89.5","11","84.2","02:21:39","02:32:30","1,307","1,357"
Running,2022-10-23 14:38:21,false,"Auburn Running","3.24","292","00:42:37","143","171","3.1","147","179","13:09","9:53","161","159","0.83","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","71.6","0:00","No","04:20.03.3","4","80.6","00:42:28","00:42:37","1,310","1,356"
Running,2022-10-23 10:55:18,false,"Auburn Running","3.07","272","00:41:12","141","166","3.1","146","170","13:26","10:12","133","141","0.82","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","71.6","0:00","No","01:14.70.7","4","78.8","00:40:55","00:41:12","1,318","1,372"
Running,2022-10-21 09:36:05,false,"Auburn Running","3.63","358","00:47:47","159","179","3.4","151","172","13:10","10:32","316","304","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","78.8","0:00","No","08:54.57.7","4","86.0","00:46:54","00:47:47","1,336","1,439"
Running,2022-10-20 17:46:44,false,"Placer County Running","4.00","367","00:47:14","157","176","3.6","157","169","11:48","9:04","112","126","0.87","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","86.0","0:00","No","00:02.02.9","5","89.6","00:47:13","00:47:14","440","493"
Running,2022-10-20 07:05:58,false,"Auburn Running","1.67","148","00:21:32","133","152","2.5","153","170","12:53","10:16","70","66","0.82","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","71.6","0:00","No","09:06.36.2","2","84.2","00:21:31","00:21:32","1,331","1,366"
Running,2022-10-17 10:38:45,false,"Auburn Running","10.56","1,048","02:47:06","153","178","4.1","134","235","15:49","11:03","1,084","1,094","0.75","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","77.0","0:00","No","11:49.23.1","11","91.4","02:38:17","03:14:04","590","1,401"
